replica_id,pdf_replica_id,pdf_shift_seed,success,nfev,best_chi2dN,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8
0,gaussian,645530612541592762,1,1598,1.9203688,0.0045198656,1.0410997,-2.525992,-3.9075207,0.7032122,-0.27620067,1.9174651,0.060041882,0.023773181
1,gaussian,7616209600456911357,1,827,2.078845,-0.019244112,1.0053228,-2.1123885,-4.4129045,1.3973088,-0.33553687,1.5127002,0.061780014,0.028409425
2,gaussian,5883379488926456123,1,950,2.0804215,0.010426936,0.99387516,-1.984038,-4.2614225,1.3800183,-0.22882743,1.5259051,0.063818867,0.026299053
3,gaussian,3945544520019865218,0,1601,1.9670704,0.17996648,0.18948019,0.42387435,-2.4241583,1.0017638,-0.54584622,1.5647695,0.064125942,0.028788172
4,gaussian,4396289082002955122,1,1532,2.3112439,0.036326119,1.0184355,-1.8491732,-4.5150283,1.2116097,-0.20489229,1.3518583,0.069981084,0.031920852
5,gaussian,4861354999102711654,1,1412,1.7842094,0.006376513,0.98988069,-2.0827798,-4.3993307,1.0842005,-0.27300928,1.5071909,0.066737856,0.031163003
6,gaussian,1687658186489619335,0,1579,2.0038474,0.092722186,1.6261482,-3.1673598,-4.2177024,1.6667284,-0.51039942,1.3442537,0.067859149,0.034809357
7,gaussian,3990848511353790528,1,1546,2.1699834,-0.033890058,0.90701157,-1.8081963,-4.7481678,1.3479809,-0.33309488,1.3978642,0.065196128,0.038321197
8,gaussian,6919732299959803525,1,957,2.0530078,0.010465854,1.0402396,-2.0325396,-4.1359403,1.2098131,-0.25488899,1.458669,0.063944468,0.031107669
9,gaussian,8716774967689940611,1,1584,2.3651225,0.010537848,0.9528377,-1.9084659,-3.8698953,1.1352122,-0.26451078,1.4171643,0.070321661,0.034762818
10,gaussian,4893177353166040693,0,1619,1.8273986,0.028230303,1.0481105,-2.0678106,-3.8195068,0.65243996,-0.5098336,1.2893075,0.073611539,0.040972001
11,gaussian,1511281805517618964,1,1619,2.1078731,-0.013206789,0.93699721,-2.0462842,-5.0637123,1.3022577,-0.43415637,1.3298632,0.072993081,0.037233544
12,gaussian,4833026309711415082,1,1586,2.2671019,0.0049279301,1.0568641,-2.0548207,-4.2126314,1.2478475,-0.27406905,1.5541878,0.059423334,0.026992244
13,gaussian,8788937224921135066,1,1613,2.162577,-0.026440367,0.95938955,-2.0884835,-5.1984476,1.3344117,-0.39672797,1.3315866,0.069530974,0.040664204
14,gaussian,1056094517712229958,0,1568,2.0065661,-0.04688891,0.80399622,-1.7161467,-4.9007124,1.4461874,-0.35527193,1.4289566,0.071236831,0.032318922
15,gaussian,4050958543824287901,0,1560,2.0932329,0.051575756,1.2227395,-2.6897869,-3.8214877,0.73389322,-0.56373984,1.4286079,0.069210646,0.03174403
16,gaussian,8979741705026065076,1,1467,2.104871,-0.023123887,0.91278818,-2.0077535,-4.922929,1.0871497,-0.27805085,1.5514427,0.063487235,0.030790155
17,gaussian,2368293708643367220,1,974,2.0181349,-0.0039134537,1.0695289,-2.453939,-4.864672,1.260765,-0.38667263,1.5815931,0.061877653,0.026020353
18,gaussian,4389574461875332614,1,956,2.0916429,0.0091816256,0.9040756,-1.9536662,-4.7155293,1.1951339,-0.23690715,1.4701241,0.072537457,0.028770512
19,gaussian,4897485540085506734,0,1606,2.1994937,0.0022541504,1.1188537,-2.4294081,-4.8987122,1.6642663,-0.47630804,1.5107281,0.06842054,0.031402616
20,gaussian,54644372471280696,1,1448,2.4275627,-1.755075e-05,0.95528981,-1.9430823,-4.9332593,1.3114344,-0.28169715,1.4401883,0.067551897,0.031398651
21,gaussian,5344264910581281300,0,1606,2.0931618,0.067444443,1.1800202,-2.4746984,-3.7295612,0.6,-0.54796001,1.2763541,0.079384136,0.043027671
22,gaussian,8187846318747806997,0,1620,2.1928749,0.03071539,1.1584339,-2.4952548,-4.2730473,1.126882,-0.27155267,1.5120563,0.063632885,0.032185972
23,gaussian,7918717968338671036,0,1571,2.3025235,-0.0045211377,0.96312554,-2.1130417,-4.7465566,1.2533258,-0.36664519,1.3993922,0.072381967,0.03578633
24,gaussian,5179109185949146308,0,1618,2.0051545,0.016704148,1.0430721,-2.3350043,-3.8283668,0.60443476,-0.54670782,1.4804104,0.069508211,0.029278745
25,gaussian,1337151742197282211,1,951,1.9775308,-0.012180679,0.86864007,-1.9302782,-4.6864691,1.2237578,-0.25021907,1.5358129,0.069011281,0.031974054
26,gaussian,6211933496396649063,1,978,2.0596053,0.00041209587,0.97085495,-2.2379771,-4.1332216,1.0816796,-0.35813598,1.5263156,0.07027321,0.031625161
27,gaussian,5522833747188938565,1,1484,2.2270511,0.015795807,1.0346224,-2.1268559,-4.4036387,1.0523583,-0.26946786,1.4970732,0.065044309,0.029572408
28,gaussian,2196431236226887310,1,1545,2.112684,-0.060868459,0.81682841,-1.7028862,-5.02045,1.3181691,-0.29861211,1.5244397,0.060475392,0.032064638
29,gaussian,9085317022535644793,1,982,2.0687817,0.004879973,0.98699365,-1.9057775,-4.0166149,1.0958256,-0.24797907,1.4863628,0.065274428,0.030843647
30,gaussian,3093033800160520245,1,1020,2.0347297,-0.036510683,0.94634296,-1.9127851,-5.0816742,1.322456,-0.34874653,1.443887,0.060883382,0.029436032
31,gaussian,7721063691141393466,1,1548,2.3195222,-0.010597721,1.0101108,-2.3281946,-4.8057381,1.4110597,-0.41276424,1.4589204,0.070207309,0.035794559
32,gaussian,6531627321248026168,0,1387,2.118702,-0.016495107,0.93285517,-2.0841892,-4.4517646,1.4836608,-0.25398609,1.5757185,0.068149613,0.031575349
33,gaussian,8603573221558977678,1,1614,2.2449879,-0.030224811,0.73764586,-1.6241693,-5.0255307,1.3211584,-0.24810294,1.5946477,0.070872862,0.031681834
34,gaussian,685389533181192677,1,1474,2.1847529,0.020302561,1.0937377,-2.2986946,-4.2923586,1.2346383,-0.34729189,1.4763722,0.068389137,0.033130677
35,gaussian,6563094903307411334,1,1501,2.0547944,0.033381144,1.1340889,-2.3296193,-4.497907,1.3385598,-0.28192917,1.4716899,0.066123754,0.027984632
36,gaussian,4512971317872833159,1,953,2.0711152,0.011248893,1.0682812,-2.3966223,-4.4596174,1.2311637,-0.31265517,1.5160524,0.067283884,0.034537233
37,gaussian,2919947318107163155,0,1620,2.0506967,0.021653473,1.0504961,-2.2907701,-3.9049224,0.81067216,-0.39723998,1.4750038,0.06918297,0.032066627
38,gaussian,6116735142052239365,1,1451,2.1464182,0.0015996081,1.0067401,-2.1446609,-4.5173803,1.3777714,-0.30730792,1.5106096,0.065990973,0.028703699
39,gaussian,5317378826842195183,0,1620,1.943287,-0.018978855,0.92959683,-1.9272207,-4.8147574,1.3439615,-0.27554762,1.480959,0.065564541,0.037141064
