replica_id,pdf_replica_id,success,nfev,best_chi2dN,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10
0,25,0,5000,1.5722394,0.50252198,1.123,0.91192063,2.0229844,0.038564817,0,0,-4.2829414,0.96530682,0,0
1,71,0,5000,1.7002046,0.51206644,1.123,0.90960268,3.109827,-0.16487068,0,0,-2.3025585,-0.11172745,0,0
2,1,0,5000,1.7763445,0.50508964,1.123,0.95333834,3.077824,0.041340693,0,0,-9.496139,0.58125665,0,0
3,33,0,5000,1.7740512,0.51167811,1.123,0.89392892,-1.3098374,0.038921766,0,0,-10,3.7280793,0,0
4,79,0,5000,1.5696917,0.51367286,1.123,0.89075579,3.1086767,-0.041009459,0,0,-1.1691501,0.016039554,0,0
5,41,0,5000,1.9592726,0.51091548,1.123,0.89794864,-2.9750575,0.065683745,0,0,-0.66779895,-0.095927557,0,0
6,18,0,5000,1.6647367,0.50646577,1.123,0.89605479,3.6015988,0.061636571,0,0,-3.411798,0.02652232,0,0
7,40,0,5000,1.6986523,0.51432806,1.123,0.87992722,2.5592024,0.11864492,0,0,-1.4968106,0.26745943,0,0
8,20,0,5000,1.575095,0.51619691,1.123,0.86511403,2.8184419,-0.043744097,0,0,-2.6115346,0.070043038,0,0
9,4,0,5000,1.751647,0.51912948,1.123,0.91203583,1.5870604,-0.0087509378,0,0,-8.4600695,0.56554694,0,0
10,87,0,5000,1.6907154,0.52601852,1.123,0.92261824,7.5725591,-1.7563058,0,0,-1.3536614,-3.1298132,0,0
11,39,0,5000,1.663252,0.51236978,1.123,0.90895496,2.8690753,-0.0057413557,0,0,-2.3630434,0.052358813,0,0
12,41,0,5000,1.9204134,0.50536733,1.123,0.91756442,3.1828418,-0.10436698,0,0,0.20064562,-0.13717433,0,0
13,2,0,5000,1.8033792,0.49402458,1.123,0.93709827,3.1006588,0.042590216,0,0,-2.5629592,0.16940203,0,0
14,2,0,5000,1.7609508,0.49861746,1.123,0.94375172,3.0631508,0.052143191,0,0,-3.5038913,0.095237228,0,0
15,41,0,5000,1.8707062,0.50854602,1.123,0.892565,2.7374584,-0.044016013,0,0,0.52028595,-0.0070623025,0,0
16,83,0,5000,1.6763506,0.52535359,1.123,0.86647944,3.4567726,-0.11809409,0,0,-3.3987446,-0.25754272,0,0
17,73,0,5000,1.7302649,0.49436186,1.123,0.91703012,2.9290018,0.037817199,0,0,-0.10467259,0.18812116,0,0
18,88,0,5000,1.9125521,0.516253,1.123,0.8264159,4.3786274,-0.14916006,0,0,-0.72122758,-0.055207912,0,0
19,71,0,5000,1.718179,0.51528581,1.123,0.91773685,2.6631528,-0.040866673,0,0,-1.3363163,-0.29611426,0,0
20,56,0,5000,1.5527219,0.50175047,1.123,0.93790469,1.516845,0.2911052,0,0,-0.84787995,0.35183194,0,0
21,7,0,5000,1.6699335,0.50554283,1.123,0.89628365,2.074502,0.10368903,0,0,-0.18120762,0.17840292,0,0
22,71,0,5000,1.556967,0.50669407,1.123,0.92748108,2.2820941,0.11477316,0,0,-3.9238213,0.29629088,0,0
23,75,0,5000,1.952127,0.50505743,1.123,0.91473333,3.1348463,0.029017945,0,0,-2.617297,0.14032114,0,0
24,99,0,5000,1.6964918,0.48287276,1.123,0.96483163,3.9280222,-0.24705645,0,0,-1.6693486,-0.31425916,0,0
25,44,0,5000,1.5600246,0.51894238,1.123,0.93423443,1.1369478,2.1012449,0,0,2.964158,-3.943924,0,0
26,20,0,5000,1.6906893,0.51424273,1.123,0.9188253,5.3345821,-0.40506428,0,0,0.7055755,-3.2505569,0,0
27,47,0,5000,1.877688,0.5066996,1.123,0.90812818,1.7320554,0.010163076,0,0,-2.200073,0.72137174,0,0
28,83,0,5000,1.5573108,0.52880606,1.123,0.89342335,10,0.84977178,0,0,-2.9416097,-4.2103338,0,0
29,76,0,5000,1.6891494,0.52087303,1.123,0.89566402,-2.8685396,0.059347905,0,0,-5.5887345,0.075516588,0,0
30,69,0,5000,1.9705023,0.52652439,1.123,0.93208998,8.8697719,10,0,0,1.1451264,-8.7936657,0,0
31,73,0,5000,1.7480851,0.49758316,1.123,0.92198423,2.4943255,0.061296784,0,0,-0.72504318,0.35317898,0,0
32,27,0,5000,1.7486299,0.5105506,1.123,0.91242536,2.6170095,0.023738543,0,0,-4.6718564,0.51915457,0,0
33,12,0,5000,1.7031069,0.51065006,1.123,0.92498342,2.2450572,0.081563409,0,0,-3.8871353,0.50041507,0,0
34,34,0,5000,1.9536969,0.50110198,1.123,0.94145298,3.3068998,-0.11518591,0,0,-3.0345265,0.0048682383,0,0
35,40,0,5000,1.8139737,0.51273875,1.123,0.87798165,-3.0557238,-0.011262945,0,0,-1.9015324,0.25872325,0,0
36,55,0,5000,1.7480761,0.51353792,1.123,0.90594077,2.7751903,-0.053297212,0,0,-3.0158814,0.045884695,0,0
37,78,0,5000,1.770582,0.51093472,1.123,0.92426914,2.6998731,-0.057075465,0,0,-3.5513582,0.50781147,0,0
38,68,0,5000,1.828208,0.50490765,1.123,0.93577874,2.3189936,-0.03007215,0,0,-0.6161197,-0.0090332102,0,0
39,22,0,5000,1.5820135,0.510804,1.123,0.95987416,2.7580316,-0.024482051,0,0,-9.9454689,0.72087107,0,0
40,8,0,5000,1.6149096,0.5170162,1.123,0.93670701,1.0195906,5.6921998,0,0,5.2569219,-9.7475393,0,0
41,65,0,5000,1.7745334,0.4959526,1.123,0.93557028,1.8109027,0.20957003,0,0,0.16412961,0.25058253,0,0
42,53,0,5000,1.6313,0.5460813,1.123,0.88146602,4.7516655,8.4543287,0,0,-2.2290587,-6.5681579,0,0
43,89,0,5000,2.2504449,0.47418647,1.123,0.97941845,2.3170322,-0.056811698,0,0,-1.2015414,-0.042847619,0,0
44,7,0,5000,1.7265833,0.50510495,1.123,0.9373278,2.1518942,0.10217045,0,0,-1.124472,-0.069714037,0,0
45,25,0,5000,1.6408122,0.50450213,1.123,0.94621863,2.9223221,-0.063865826,0,0,-4.5614009,-0.0063853394,0,0
46,42,0,5000,1.656459,0.51206799,1.123,0.94236483,-2.7612886,-0.06641804,0,0,-9.2039551,0.55744315,0,0
47,25,0,5000,1.5663888,0.50355082,1.123,0.91878707,2.3116965,0.034176725,0,0,-3.537708,0.36462541,0,0
48,78,0,5000,1.6802296,0.50596731,1.123,0.91967037,2.9153058,0.075364435,0,0,-2.3387595,0.015703703,0,0
49,34,0,5000,1.5476718,0.49976777,1.123,0.92677223,2.8172953,-0.02203694,0,0,-2.3392625,0.098772901,0,0
50,36,0,5000,1.7761428,0.51134605,1.123,0.89651708,2.4656109,-0.079573889,0,0,-4.3005182,0.19885289,0,0
51,2,0,5000,1.6891409,0.49669352,1.123,0.92177648,3.1761084,0.10018703,0,0,-3.010205,0.099689865,0,0
52,58,0,5000,1.817519,0.52887205,1.123,0.89090514,1.1457889,-3.6605101,0,0,1.3909755,-6.2693416,0,0
53,71,0,5000,1.5454671,0.51646095,1.123,0.91363944,2.8515929,-0.10330245,0,0,-3.3458246,0.037868843,0,0
54,26,0,5000,1.7888792,0.49714227,1.123,0.95468532,2.3090941,-0.027024962,0,0,-0.70217544,-0.1772114,0,0
55,29,0,5000,1.5777472,0.52131363,1.123,0.90758366,2.1725081,0.18015414,0,0,-6.3145405,0.5281134,0,0
56,36,0,5000,1.9786393,0.5160381,1.123,0.90030682,2.4130768,-0.057896901,0,0,-6.1751684,0.24555465,0,0
57,81,0,5000,1.7952497,0.48532383,1.123,0.91924475,2.2299002,0.19921973,0,0,0.60750644,0.53530523,0,0
58,7,0,5000,1.8265549,0.50349999,1.123,0.93100003,2.7128026,0.015781745,0,0,-2.1080599,0.083774922,0,0
59,59,0,5000,1.857086,0.50808361,1.123,0.93500659,2.4174486,0.61430628,0,0,2.3267695,-3.8207002,0,0
60,64,0,5000,1.5901577,0.50706038,1.123,0.91755987,3.3782799,-0.11532732,0,0,-3.5219855,0.33906809,0,0
