nth,chi2dN,g2,l,l2,N1,N2,N3,a1,a2,a3,s1,s2,s3
0,2.2453,0.2869,0.35766,0.00080799,0.025202,0.135,8.407,6.0889,5.6114,4.4207,9.3747,1.4901,8.793
1,2.2456,0.28524,0.35696,0.00076537,0.025215,0.13517,10.189,6.0753,5.6135,4.4347,9.362,1.4865,8.9551
2,2.3239,0.29028,0.35455,0.00068175,0.024704,0.13374,8.3817,6.0759,5.6743,4.3823,9.378,1.5099,8.9109
3,2.1257,0.28805,0.42828,0.00079256,0.025829,0.13556,8.3999,6.0737,5.6366,4.4126,9.3876,1.4933,8.835
4,2.4006,0.28679,0.35808,0.00078704,0.025205,0.13517,8.3871,6.0769,5.6061,4.421,9.3588,1.489,8.8014
5,2.4714,0.28554,0.35794,0.0008475,0.030025,0.13621,8.2434,6.0816,5.623,4.4297,9.3489,1.4774,8.8135
6,2.59,0.28867,0.35801,0.00094078,0.025206,0.13525,10.41,6.08,5.6152,4.4381,9.3681,1.483,8.7929
7,2.27,0.28578,0.3522,0.00087966,0.029733,0.13586,8.4366,6.0832,5.6317,4.4162,9.3801,1.4507,8.8146
8,2.4111,0.29111,0.42635,0.00068353,0.025596,0.13555,8.4006,6.1092,5.6099,4.4166,9.3048,1.4906,8.8106
9,2.3642,0.28796,0.35491,0.00067671,0.02521,0.13591,8.3822,6.0841,5.6319,4.414,9.3669,1.488,8.8209
10,2.4354,0.28718,0.35774,0.00096721,0.02538,0.1351,8.4074,6.0623,5.5913,4.424,9.4125,1.4924,8.783
11,2.2764,0.28978,0.34801,0.00072712,0.022082,0.092599,8.2108,5.005,5.3712,4.2534,7.1258,1.1677,9.658
12,2.3209,0.28712,0.35772,0.00087796,0.025142,0.1347,8.3961,6.0779,5.5965,4.4254,9.3363,1.4942,8.8032
13,2.3339,0.28686,0.3573,0.00082466,0.025378,0.13516,8.4172,6.0728,5.6114,4.4261,9.3795,1.4881,8.8177
14,2.3425,0.28671,0.35685,0.00099263,0.025159,0.13519,8.4053,6.0745,5.5851,4.4305,9.411,1.4906,8.7755
15,2.1731,0.29109,0.42427,0.00078629,0.024812,0.13523,8.4042,6.0943,5.6262,4.4313,9.391,1.4889,8.7993
16,2.2631,0.28389,0.35883,0.00089679,0.030284,0.13542,8.3186,6.0794,5.5912,4.3986,9.4271,1.5296,8.7569
17,1.9367,0.28789,0.35439,0.00078981,0.025261,0.13537,8.4154,6.075,5.6304,4.4173,9.4279,1.4813,8.8231
18,2.3647,0.28691,0.35822,0.00078084,0.025213,0.13517,8.3873,6.0746,5.6041,4.4216,9.3599,1.4888,8.7982
19,2.5068,0.28757,0.3575,0.00093791,0.02517,0.13515,8.3941,6.0767,5.5863,4.428,9.3422,1.4879,8.764
20,2.2947,0.28562,0.35746,0.0007009,0.025603,0.16213,8.4015,6.1257,5.6173,4.4325,9.5059,1.4817,8.9577
21,2.1506,0.28519,0.35757,0.00097032,0.029999,0.13543,8.3896,6.0785,5.6138,4.4339,9.3872,1.4898,8.8117
22,2.2136,0.28562,0.4269,0.0007771,0.025722,0.1349,8.3947,6.0732,5.6278,4.433,9.389,1.485,8.8091
23,2.3201,0.29024,0.34048,0.00053109,0.02487,0.12943,8.2384,6.0304,5.6732,4.4026,9.144,1.4779,9.1923
24,2.2976,0.28708,0.35768,0.00076439,0.025203,0.13509,8.4156,6.0767,5.6061,4.4206,9.3544,1.4877,8.8053
