param_i,param_j,corr,abs_corr
lambda1,lambda2,-0.7748778709840988,0.7748778709840988
lambda1,lambda4,0.6442981831684392,0.6442981831684392
lambda2,lambda4,-0.41979567897873193,0.41979567897873193
BNP,c1,-0.40905098744444957,0.40905098744444957
c0,c1,0.3774017463402878,0.3774017463402878
lambda4,c0,0.3616766057005296,0.3616766057005296
logx0,c0,0.2886907445547273,0.2886907445547273
lambda1,c0,-0.2770830764512085,0.2770830764512085
sigx,c0,0.2538614526961133,0.2538614526961133
lambda2,BNP,-0.25263833311207395,0.25263833311207395
sigx,amp,0.2468452245852841,0.2468452245852841
lambda2,amp,0.19760919585209072,0.19760919585209072
logx0,sigx,0.17872698921754923,0.17872698921754923
lambda1,amp,-0.1764172105752441,0.1764172105752441
lambda4,c1,-0.17189085285357042,0.17189085285357042
logx0,BNP,-0.17175697417378194,0.17175697417378194
logx0,amp,0.14402972406717313,0.14402972406717313
lambda2,c0,0.13971026472281295,0.13971026472281295
